09-11-2023 23:44:59.719 [restartedMain] INFO  c.j.m.MultipleLoggersApplication.logStarting:51 - Starting MultipleLoggersApplication using Java 17.0.8.1 with PID 55370 (/Users/samyakmoon/Desktop/java/My Projects/MultipleLoggers/target/classes started by samyakmoon in /Users/samyakmoon/Desktop/java/My Projects/MultipleLoggers)
09-11-2023 23:44:59.722 [restartedMain] INFO  c.j.m.MultipleLoggersApplication.logStartupProfileInfo:638 - No active profile set, falling back to 1 default profile: "default"
09-11-2023 23:44:59.740 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor.logTo:250 - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
09-11-2023 23:44:59.740 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor.logTo:250 - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
09-11-2023 23:44:59.984 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn:138 - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
09-11-2023 23:45:00.013 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn:208 - Finished Spring Data repository scanning in 25 ms. Found 1 JPA repository interfaces.
09-11-2023 23:45:00.247 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer.initialize:108 - Tomcat initialized with port(s): 8080 (http)
09-11-2023 23:45:00.250 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol.log:173 - Initializing ProtocolHandler ["http-nio-8080"]
09-11-2023 23:45:00.251 [restartedMain] INFO  o.a.catalina.core.StandardService.log:173 - Starting service [Tomcat]
09-11-2023 23:45:00.251 [restartedMain] INFO  o.a.catalina.core.StandardEngine.log:173 - Starting Servlet engine: [Apache Tomcat/10.1.15]
09-11-2023 23:45:00.275 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/].log:173 - Initializing Spring embedded WebApplicationContext
09-11-2023 23:45:00.275 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext.prepareWebApplicationContext:291 - Root WebApplicationContext: initialization completed in 535 ms
09-11-2023 23:45:00.337 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper.logPersistenceUnitInformation:31 - HHH000204: Processing PersistenceUnitInfo [name: default]
09-11-2023 23:45:00.362 [restartedMain] INFO  org.hibernate.Version.logVersion:44 - HHH000412: Hibernate ORM core version 6.2.13.Final
09-11-2023 23:45:00.363 [restartedMain] INFO  org.hibernate.cfg.Environment.<clinit>:191 - HHH000406: Using bytecode reflection optimizer
09-11-2023 23:45:00.463 [restartedMain] INFO  o.s.o.j.p.SpringPersistenceUnitInfo.addTransformer:87 - No LoadTimeWeaver setup: ignoring JPA class transformer
09-11-2023 23:45:00.474 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource.getConnection:110 - HikariPool-1 - Starting...
09-11-2023 23:45:00.542 [restartedMain] INFO  com.zaxxer.hikari.pool.HikariPool.checkFailFast:565 - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@22649084
09-11-2023 23:45:00.543 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource.getConnection:123 - HikariPool-1 - Start completed.
09-11-2023 23:45:00.566 [restartedMain] WARN  org.hibernate.orm.deprecation.constructDialect:152 - HHH90000025: MySQL8Dialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
09-11-2023 23:45:00.566 [restartedMain] WARN  org.hibernate.orm.deprecation.logSelectedDialect:100 - HHH90000026: MySQL8Dialect has been deprecated; use org.hibernate.dialect.MySQLDialect instead
09-11-2023 23:45:00.848 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator.initiateService:55 - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
09-11-2023 23:45:00.884 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean.buildNativeEntityManagerFactory:437 - Initialized JPA EntityManagerFactory for persistence unit 'default'
09-11-2023 23:45:01.016 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration.openEntityManagerInViewInterceptor:231 - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
09-11-2023 23:45:01.134 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer.startServer:59 - LiveReload server is running on port 35729
09-11-2023 23:45:01.139 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol.log:173 - Starting ProtocolHandler ["http-nio-8080"]
09-11-2023 23:45:01.146 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer.start:220 - Tomcat started on port(s): 8080 (http) with context path ''
09-11-2023 23:45:01.151 [restartedMain] INFO  c.j.m.MultipleLoggersApplication.logStarted:57 - Started MultipleLoggersApplication in 1.683 seconds (process running for 1.887)
09-11-2023 23:46:52.191 [http-nio-8080-exec-2] INFO  o.a.c.c.C.[Tomcat].[localhost].[/].log:173 - Initializing Spring DispatcherServlet 'dispatcherServlet'
09-11-2023 23:46:52.191 [http-nio-8080-exec-2] INFO  o.s.web.servlet.DispatcherServlet.initServletBean:532 - Initializing Servlet 'dispatcherServlet'
09-11-2023 23:46:52.192 [http-nio-8080-exec-2] INFO  o.s.web.servlet.DispatcherServlet.initServletBean:554 - Completed initialization in 0 ms
09-11-2023 23:46:52.240 [http-nio-8080-exec-2] INFO  c.j.m.controller.UserController.saveUser:27 - Request hitting save User controller
09-11-2023 23:46:52.241 [http-nio-8080-exec-2] INFO  c.j.m.service.UserServiceImpl.saveUser:32 - Request hitting Save User service
09-11-2023 23:47:55.669 [File Watcher] INFO  o.s.b.d.a.LocalDevToolsAutoConfiguration$RestartingClassPathChangeChangedEventListener.onApplicationEvent:211 - Restarting due to 18 class path changes (0 additions, 0 deletions, 18 modifications)
09-11-2023 23:47:55.680 [Thread-5] INFO  o.a.coyote.http11.Http11NioProtocol.log:173 - Pausing ProtocolHandler ["http-nio-8080"]
09-11-2023 23:47:55.680 [Thread-5] INFO  o.a.catalina.core.StandardService.log:173 - Stopping service [Tomcat]
09-11-2023 23:47:55.681 [Thread-5] INFO  o.a.c.c.C.[Tomcat].[localhost].[/].log:173 - Destroying Spring FrameworkServlet 'dispatcherServlet'
09-11-2023 23:47:55.683 [Thread-5] INFO  o.a.coyote.http11.Http11NioProtocol.log:173 - Stopping ProtocolHandler ["http-nio-8080"]
09-11-2023 23:47:55.685 [Thread-5] INFO  o.a.coyote.http11.Http11NioProtocol.log:173 - Destroying ProtocolHandler ["http-nio-8080"]
09-11-2023 23:47:55.686 [Thread-5] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean.destroy:650 - Closing JPA EntityManagerFactory for persistence unit 'default'
09-11-2023 23:47:55.688 [Thread-5] INFO  com.zaxxer.hikari.HikariDataSource.close:350 - HikariPool-1 - Shutdown initiated...
09-11-2023 23:47:55.692 [Thread-5] INFO  com.zaxxer.hikari.HikariDataSource.close:352 - HikariPool-1 - Shutdown completed.
09-11-2023 23:47:55.734 [restartedMain] INFO  c.j.m.MultipleLoggersApplication.logStarting:51 - Starting MultipleLoggersApplication using Java 17.0.8.1 with PID 55370 (/Users/samyakmoon/Desktop/java/My Projects/MultipleLoggers/target/classes started by samyakmoon in /Users/samyakmoon/Desktop/java/My Projects/MultipleLoggers)
09-11-2023 23:47:55.734 [restartedMain] INFO  c.j.m.MultipleLoggersApplication.logStartupProfileInfo:638 - No active profile set, falling back to 1 default profile: "default"
09-11-2023 23:47:55.798 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn:138 - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
09-11-2023 23:47:55.802 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn:208 - Finished Spring Data repository scanning in 4 ms. Found 1 JPA repository interfaces.
09-11-2023 23:47:55.837 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer.initialize:108 - Tomcat initialized with port(s): 8080 (http)
09-11-2023 23:47:55.837 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol.log:173 - Initializing ProtocolHandler ["http-nio-8080"]
09-11-2023 23:47:55.837 [restartedMain] INFO  o.a.catalina.core.StandardService.log:173 - Starting service [Tomcat]
09-11-2023 23:47:55.837 [restartedMain] INFO  o.a.catalina.core.StandardEngine.log:173 - Starting Servlet engine: [Apache Tomcat/10.1.15]
09-11-2023 23:47:55.842 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/].log:173 - Initializing Spring embedded WebApplicationContext
09-11-2023 23:47:55.842 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext.prepareWebApplicationContext:291 - Root WebApplicationContext: initialization completed in 107 ms
09-11-2023 23:47:55.855 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper.logPersistenceUnitInformation:31 - HHH000204: Processing PersistenceUnitInfo [name: default]
09-11-2023 23:47:55.857 [restartedMain] INFO  o.s.o.j.p.SpringPersistenceUnitInfo.addTransformer:87 - No LoadTimeWeaver setup: ignoring JPA class transformer
09-11-2023 23:47:55.857 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource.getConnection:110 - HikariPool-2 - Starting...
09-11-2023 23:47:55.861 [restartedMain] INFO  com.zaxxer.hikari.pool.HikariPool.checkFailFast:565 - HikariPool-2 - Added connection com.mysql.cj.jdbc.ConnectionImpl@12323174
09-11-2023 23:47:55.861 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource.getConnection:123 - HikariPool-2 - Start completed.
09-11-2023 23:47:55.861 [restartedMain] WARN  org.hibernate.orm.deprecation.constructDialect:152 - HHH90000025: MySQL8Dialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
09-11-2023 23:47:55.861 [restartedMain] WARN  org.hibernate.orm.deprecation.logSelectedDialect:100 - HHH90000026: MySQL8Dialect has been deprecated; use org.hibernate.dialect.MySQLDialect instead
09-11-2023 23:47:55.873 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator.initiateService:55 - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
09-11-2023 23:47:55.881 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean.buildNativeEntityManagerFactory:437 - Initialized JPA EntityManagerFactory for persistence unit 'default'
09-11-2023 23:47:55.917 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration.openEntityManagerInViewInterceptor:231 - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
09-11-2023 23:47:55.948 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer.startServer:59 - LiveReload server is running on port 35729
09-11-2023 23:47:55.950 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol.log:173 - Starting ProtocolHandler ["http-nio-8080"]
09-11-2023 23:47:55.951 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer.start:220 - Tomcat started on port(s): 8080 (http) with context path ''
09-11-2023 23:47:55.953 [restartedMain] INFO  c.j.m.MultipleLoggersApplication.logStarted:57 - Started MultipleLoggersApplication in 0.234 seconds (process running for 176.688)
09-11-2023 23:47:55.954 [restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener.onApplicationEvent:63 - Condition evaluation unchanged
09-11-2023 23:48:09.863 [http-nio-8080-exec-2] INFO  o.a.c.c.C.[Tomcat].[localhost].[/].log:173 - Initializing Spring DispatcherServlet 'dispatcherServlet'
09-11-2023 23:48:09.864 [http-nio-8080-exec-2] INFO  o.s.web.servlet.DispatcherServlet.initServletBean:532 - Initializing Servlet 'dispatcherServlet'
09-11-2023 23:48:09.865 [http-nio-8080-exec-2] INFO  o.s.web.servlet.DispatcherServlet.initServletBean:554 - Completed initialization in 1 ms
09-11-2023 23:48:09.874 [http-nio-8080-exec-2] INFO  c.j.m.controller.UserController.saveUser:27 - Request hitting save User controller
09-11-2023 23:48:09.874 [http-nio-8080-exec-2] INFO  c.j.m.service.UserServiceImpl.saveUser:32 - Request hitting Save User service
09-11-2023 23:49:38.367 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean.destroy:650 - Closing JPA EntityManagerFactory for persistence unit 'default'
09-11-2023 23:49:38.368 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource.close:350 - HikariPool-2 - Shutdown initiated...
09-11-2023 23:49:38.369 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource.close:352 - HikariPool-2 - Shutdown completed.
